cycle_id,day,start_time,run_mode,fwd_torque_max,fwd_torque_mean,fwd_torque_std,fwd_velocity_max,fwd_duration,settle_torque_mean,settle_torque_std,settle_duration,ret_torque_min,ret_torque_mean,ret_torque_std,ret_velocity_min,ret_duration,total_duration
41,Apr 24,2026-04-24 12:20:53.835,2.0,0.03072,0.0256,0.0034583695580432117,86.77125,6,0.03978964143426295,0.00953987644945763,251,-0.128,-0.07002637837837838,0.033160911007187835,-503.348112,370,627
42,Apr 24,2026-04-24 12:20:58.821,2.0,0.02944,0.025066666666666668,0.0026049388988355687,86.821318,6,0.043736733067729086,0.009147139644963456,251,-0.12288,-0.06987935135135134,0.03381503842118701,-503.334999,370,627
43,Apr 24,2026-04-24 12:21:03.806,2.0,0.02816,0.025066666666666668,0.002339868942198829,86.915493,6,0.04108749003984064,0.009246707937147165,251,-0.128,-0.07013708108108108,0.03230497588291277,-503.454208,370,627
44,Apr 24,2026-04-24 12:21:08.792,2.0,0.0288,0.023999999999999997,0.003522907889797858,87.457895,6,0.042046215139442226,0.00881742454561023,251,-0.12736,-0.07007827027027026,0.03266157951483244,-503.073931,370,627
45,Apr 24,2026-04-24 12:21:13.777,2.0,0.0288,0.024426666666666666,0.003933093778015808,87.411404,6,0.03741067729083666,0.009191275555625683,251,-0.12736,-0.07003502702702702,0.031906459237216835,-503.566265,370,627
46,Apr 24,2026-04-24 12:21:18.763,2.0,0.03136,0.024853333333333335,0.00358438093213691,87.244511,6,0.040218007968127495,0.008743779732812143,251,-0.12928,-0.06946075675675675,0.03371625033352819,-503.286123,370,627
47,Apr 24,2026-04-24 12:21:23.748,2.0,0.02944,0.022506666666666664,0.0047102724620415185,87.555647,6,0.03937657370517928,0.009473433982117883,251,-0.12352,-0.0693292972972973,0.03328782780118991,-503.807068,370,627
48,Apr 24,2026-04-24 12:21:28.734,2.0,0.03008,0.024426666666666666,0.0038488786245693255,87.573528,6,0.04076621513944223,0.009069139916085194,251,-0.128,-0.06950572972972972,0.032570712959512936,-503.298044,370,627
49,Apr 24,2026-04-24 12:21:33.718,2.0,0.02944,0.024746666666666667,0.0029652565937312515,87.566376,6,0.0399604780876494,0.009460212585905136,251,-0.13184,-0.06936908108108109,0.03345614351641113,-504.488945,370,627
50,Apr 24,2026-04-24 12:21:38.704,2.0,0.02816,0.02538666666666667,0.002881184941420225,87.565184,6,0.04129147410358565,0.008983983382571835,251,-0.12992,-0.07012324324324325,0.03244221810758524,-502.723455,370,627
51,Apr 24,2026-04-24 12:21:43.691,2.0,0.03328,0.02624,0.004579467217919568,84.451437,6,0.03847649402390438,0.008809005599894016,251,-0.12864,-0.06917708108108109,0.032467001986864884,-502.618551,370,627
52,Apr 24,2026-04-24 12:21:48.677,2.0,0.032,0.025813333333333337,0.0038114494180910585,87.637901,6,0.036087330677290835,0.010487998038053553,251,-0.12864,-0.06954724324324325,0.03208283454741021,-503.432751,370,627
53,Apr 24,2026-04-24 12:21:53.665,2.0,0.03072,0.026240000000000003,0.002527797460240831,84.712505,6,0.03927203187250996,0.00927589496787129,251,-0.128,-0.06933275675675676,0.03283988508722735,-503.138304,370,627
54,Apr 24,2026-04-24 12:21:58.650,2.0,0.03648,0.025813333333333337,0.006446762494978907,86.568594,6,0.03992223107569721,0.010354641770838358,251,-0.12352,-0.06908021621621621,0.032747536467169124,-502.433777,370,627
55,Apr 24,2026-04-24 12:22:03.637,2.0,0.0352,0.027200000000000002,0.005806038236181363,86.82251,6,0.04005227091633466,0.009732300160923451,251,-0.12416,-0.0688812972972973,0.032852598952488585,-503.818989,370,627
56,Apr 24,2026-04-24 12:22:08.622,2.0,0.032,0.025920000000000002,0.005131985970362741,86.917877,6,0.04074326693227091,0.00924601469198823,251,-0.12928,-0.06970637837837838,0.0326923884193408,-503.116846,370,627
57,Apr 24,2026-04-24 12:22:13.608,2.0,0.03136,0.025813333333333337,0.004984883816767114,87.128878,6,0.039519362549800804,0.008926950453096051,251,-0.12672,-0.06924487804878049,0.03193422720912979,-502.938032,369,626
58,Apr 24,2026-04-24 12:22:18.592,2.0,0.03136,0.02698666666666667,0.0042916601294448594,87.108612,6,0.03862183266932271,0.008691647198770108,251,-0.12608,-0.06889513513513514,0.03257445695089396,-503.855944,370,627
59,Apr 24,2026-04-24 12:22:23.578,2.0,0.03264,0.027733333333333336,0.003474125309580336,86.990595,6,0.038902310756972105,0.009495873263636379,251,-0.12544,-0.06979113513513513,0.031978436083050295,-503.88217,370,627
60,Apr 24,2026-04-24 12:22:28.565,2.0,0.032,0.02624,0.004167378072601524,89.443922,6,0.03959840637450199,0.008941321817840995,251,-0.13248,-0.0691667027027027,0.03307650152791267,-503.995419,370,627
61,Apr 24,2026-04-24 12:22:33.552,2.0,0.032,0.027200000000000002,0.003770029177605924,86.563826,6,0.0405418326693227,0.00859573558387462,251,-0.13056,-0.06917535135135135,0.03319646355296967,-503.644943,370,627
62,Apr 24,2026-04-24 12:22:38.537,2.0,0.02944,0.026240000000000003,0.003001866086286995,86.939335,6,0.03851474103585657,0.00926820169356868,251,-0.12992,-0.06927221621621622,0.03287459677672499,-502.93684,370,627
63,Apr 24,2026-04-24 12:22:43.523,2.0,0.03264,0.028373333333333334,0.0024842114778469786,86.758137,6,0.03874932270916334,0.009262834163442753,251,-0.12928,-0.06918227027027027,0.03254418580207918,-502.969027,370,627
64,Apr 24,2026-04-24 12:22:48.508,2.0,0.03136,0.02666666666666667,0.0037682179696332135,86.610317,6,0.03843059760956175,0.010104335427994963,251,-0.12608,-0.06908367567567568,0.0325550868812502,-503.100157,370,627
65,Apr 24,2026-04-24 12:22:53.494,2.0,0.03264,0.02730666666666667,0.004180462494349957,87.140799,6,0.040238406374501996,0.009676488487576431,251,-0.12672,-0.0693292972972973,0.03217220534552836,-503.367186,370,627
66,Apr 24,2026-04-24 12:22:58.479,2.0,0.03072,0.026346666666666668,0.003607163243695338,87.721348,6,0.040093067729083665,0.009539344786273033,251,-0.12672,-0.06857859459459459,0.03323207253804606,-503.132343,370,627
67,Apr 24,2026-04-24 12:23:03.465,2.0,0.03328,0.02666666666666667,0.004749242746656213,89.795589,6,0.041862629482071714,0.009334591038613718,251,-0.13056,-0.06926702702702703,0.03292895485071221,-503.712893,370,627
68,Apr 24,2026-04-24 12:23:08.450,2.0,0.03392,0.028160000000000004,0.004874094787752899,86.747408,6,0.042201752988047805,0.009390883244654955,251,-0.128,-0.06879135135135137,0.032836983492546414,-503.072739,370,627
69,Apr 24,2026-04-24 12:23:13.435,2.0,0.03008,0.02549333333333334,0.0031462146568005593,86.835623,6,0.03626071713147411,0.01090065118622118,251,-0.12544,-0.06852843243243242,0.032468708408563994,-503.606796,370,627
